traced_nodes,nl,trial,phase,time,pctTotal,source_run
128,128,1,Read global definitions,0.01854,0.01,run_20260717_215056
128,128,1,Build group/location map,0.004706,0.0,run_20260717_215056
128,128,1,Distribute groups,0.005849,0.0,run_20260717_215056
128,128,1,Read events + write output,208.801253,99.99,run_20260717_215056
128,128,1,Other (overhead),0.006037,0.0,run_20260717_215056
128,128,1,Total,208.830536,100.0,run_20260717_215056
128,128,2,Read global definitions,0.015776,0.01,run_20260717_215056
128,128,2,Build group/location map,0.004817,0.0,run_20260717_215056
128,128,2,Distribute groups,0.005786,0.0,run_20260717_215056
128,128,2,Read events + write output,205.758713,99.99,run_20260717_215056
128,128,2,Other (overhead),0.006036,0.0,run_20260717_215056
128,128,2,Total,205.785342,100.0,run_20260717_215056
128,128,3,Read global definitions,0.015061,0.01,run_20260717_215056
128,128,3,Build group/location map,0.004688,0.0,run_20260717_215056
128,128,3,Distribute groups,0.005883,0.0,run_20260717_215056
128,128,3,Read events + write output,212.201725,99.99,run_20260717_215056
128,128,3,Other (overhead),0.006135,0.0,run_20260717_215056
128,128,3,Total,212.227609,100.0,run_20260717_215056
128,128,4,Read global definitions,0.014916,0.01,run_20260717_215056
128,128,4,Build group/location map,0.00471,0.0,run_20260717_215056
128,128,4,Distribute groups,0.005885,0.0,run_20260717_215056
128,128,4,Read events + write output,204.779364,99.99,run_20260717_215056
128,128,4,Other (overhead),0.006139,0.0,run_20260717_215056
128,128,4,Total,204.805129,100.0,run_20260717_215056
128,128,5,Read global definitions,0.015831,0.01,run_20260717_215056
128,128,5,Build group/location map,0.004695,0.0,run_20260717_215056
128,128,5,Distribute groups,0.005886,0.0,run_20260717_215056
128,128,5,Read events + write output,206.734477,99.99,run_20260717_215056
128,128,5,Other (overhead),0.006123,0.0,run_20260717_215056
128,128,5,Total,206.761126,100.0,run_20260717_215056
128,16,1,Read global definitions,0.01879,0.0,run_20260717_215056
128,16,1,Build group/location map,0.004486,0.0,run_20260717_215056
128,16,1,Distribute groups,0.002781,0.0,run_20260717_215056
128,16,1,Read events + write output,407.809442,99.99,run_20260717_215056
128,16,1,Other (overhead),0.00307,0.0,run_20260717_215056
128,16,1,Total,407.835788,100.0,run_20260717_215056
128,16,2,Read global definitions,0.017176,0.0,run_20260717_215056
128,16,2,Build group/location map,0.004888,0.0,run_20260717_215056
128,16,2,Distribute groups,0.002595,0.0,run_20260717_215056
128,16,2,Read events + write output,394.457115,99.99,run_20260717_215056
128,16,2,Other (overhead),0.002827,0.0,run_20260717_215056
128,16,2,Total,394.482006,100.0,run_20260717_215056
128,16,3,Read global definitions,0.017109,0.0,run_20260717_215056
128,16,3,Build group/location map,0.004703,0.0,run_20260717_215056
128,16,3,Distribute groups,0.002918,0.0,run_20260717_215056
128,16,3,Read events + write output,386.540191,99.99,run_20260717_215056
128,16,3,Other (overhead),0.003163,0.0,run_20260717_215056
128,16,3,Total,386.565166,100.0,run_20260717_215056
128,16,4,Read global definitions,0.017089,0.0,run_20260717_215056
128,16,4,Build group/location map,0.004672,0.0,run_20260717_215056
128,16,4,Distribute groups,0.003027,0.0,run_20260717_215056
128,16,4,Read events + write output,386.699657,99.99,run_20260717_215056
128,16,4,Other (overhead),0.003277,0.0,run_20260717_215056
128,16,4,Total,386.724695,100.0,run_20260717_215056
128,16,5,Read global definitions,0.016232,0.0,run_20260717_215056
128,16,5,Build group/location map,0.004718,0.0,run_20260717_215056
128,16,5,Distribute groups,0.002908,0.0,run_20260717_215056
128,16,5,Read events + write output,390.629538,99.99,run_20260717_215056
128,16,5,Other (overhead),0.003157,0.0,run_20260717_215056
128,16,5,Total,390.653645,100.0,run_20260717_215056
128,32,1,Read global definitions,0.018427,0.01,run_20260717_215056
128,32,1,Build group/location map,0.005362,0.0,run_20260717_215056
128,32,1,Distribute groups,0.003372,0.0,run_20260717_215056
128,32,1,Read events + write output,276.109203,99.99,run_20260717_215056
128,32,1,Other (overhead),0.003585,0.0,run_20260717_215056
128,32,1,Total,276.136577,100.0,run_20260717_215056
128,32,2,Read global definitions,0.015152,0.01,run_20260717_215056
128,32,2,Build group/location map,0.004674,0.0,run_20260717_215056
128,32,2,Distribute groups,0.003346,0.0,run_20260717_215056
128,32,2,Read events + write output,293.005136,99.99,run_20260717_215056
128,32,2,Other (overhead),0.00358,0.0,run_20260717_215056
128,32,2,Total,293.028542,100.0,run_20260717_215056
128,32,3,Read global definitions,0.015186,0.01,run_20260717_215056
128,32,3,Build group/location map,0.004795,0.0,run_20260717_215056
128,32,3,Distribute groups,0.003183,0.0,run_20260717_215056
128,32,3,Read events + write output,242.563818,99.99,run_20260717_215056
128,32,3,Other (overhead),0.003431,0.0,run_20260717_215056
128,32,3,Total,242.58723,100.0,run_20260717_215056
128,32,4,Read global definitions,0.01546,0.01,run_20260717_215056
128,32,4,Build group/location map,0.004782,0.0,run_20260717_215056
128,32,4,Distribute groups,0.003194,0.0,run_20260717_215056
128,32,4,Read events + write output,269.17134,99.99,run_20260717_215056
128,32,4,Other (overhead),0.003439,0.0,run_20260717_215056
128,32,4,Total,269.195021,100.0,run_20260717_215056
128,32,5,Read global definitions,0.015443,0.01,run_20260717_215056
128,32,5,Build group/location map,0.004919,0.0,run_20260717_215056
128,32,5,Distribute groups,0.003309,0.0,run_20260717_215056
128,32,5,Read events + write output,247.208527,99.99,run_20260717_215056
128,32,5,Other (overhead),0.003563,0.0,run_20260717_215056
128,32,5,Total,247.232452,100.0,run_20260717_215056
128,64,1,Read global definitions,0.017368,0.01,run_20260717_215056
128,64,1,Build group/location map,0.005031,0.0,run_20260717_215056
128,64,1,Distribute groups,0.004049,0.0,run_20260717_215056
128,64,1,Read events + write output,257.301759,99.99,run_20260717_215056
128,64,1,Other (overhead),0.00428,0.0,run_20260717_215056
128,64,1,Total,257.328438,100.0,run_20260717_215056
128,64,2,Read global definitions,0.015148,0.01,run_20260717_215056
128,64,2,Build group/location map,0.004715,0.0,run_20260717_215056
128,64,2,Distribute groups,0.004037,0.0,run_20260717_215056
128,64,2,Read events + write output,254.881876,99.99,run_20260717_215056
128,64,2,Other (overhead),0.004299,0.0,run_20260717_215056
128,64,2,Total,254.906038,100.0,run_20260717_215056
128,64,3,Read global definitions,0.015512,0.01,run_20260717_215056
128,64,3,Build group/location map,0.004687,0.0,run_20260717_215056
128,64,3,Distribute groups,0.004487,0.0,run_20260717_215056
128,64,3,Read events + write output,259.145377,99.99,run_20260717_215056
128,64,3,Other (overhead),0.00474,0.0,run_20260717_215056
128,64,3,Total,259.170316,100.0,run_20260717_215056
128,64,4,Read global definitions,0.015022,0.01,run_20260717_215056
