traced_nodes,nl,trial,Task,Locale,Locations,Events,Open (s),Setup (s),EnterCB (s),LeaveCB (s),MetricCB (s),libOTF2 (s),WriteCG (s),WriteMet (s),Total (s)
384,128,1,0,0,5,28971792,0.004403,0.036081,12.714216,12.139047,0.000234,6.930573,385.626268,10.369533,427.820369
384,128,1,1,0,5,28923890,0.004405,0.036675,12.700213,12.197463,0.000197,7.387724,369.140839,9.256919,410.724444
384,128,1,2,0,48,75243285,0.003119,0.359907,12.90726,12.412825,90.676028,33.53285,245.614182,15.437491,410.94369
384,128,1,3,0,5,28892347,0.004405,0.047581,12.798189,12.284257,0.000259,7.460262,373.705052,9.696003,415.996015
384,128,1,4,0,48,74812702,0.004133,1.409107,12.855247,12.283301,89.475178,33.296751,266.647416,12.202063,428.173216
384,128,1,5,0,5,28795491,0.004091,0.146105,12.531984,12.195987,0.000263,8.139266,336.656241,7.003113,376.677068
384,128,1,6,0,5,29164403,0.004093,0.143818,12.665834,12.202923,0.000276,7.155569,372.61886,11.172215,415.96361
384,128,1,7,0,5,28879032,0.004165,0.123549,15.422407,14.768262,0.000207,7.780964,111.31621,0.530923,149.94672
384,128,1,8,0,5,28986807,0.004165,0.136908,15.213052,14.485475,0.000273,7.924446,360.989104,9.379687,408.133125
384,128,1,9,0,5,28834800,0.004091,0.145566,12.834663,12.228455,0.00022,7.905183,275.022663,58.467558,366.608418
384,128,1,10,0,5,28822356,0.004102,0.14687,12.580238,12.055164,0.000183,10.917933,151.990987,211.637624,399.333115
384,128,1,11,0,5,28828466,0.00441,0.192584,14.765849,14.278676,0.000196,8.558184,113.173237,221.285889,372.259035
384,128,1,12,0,5,28811327,0.00267,0.109868,15.089629,14.298987,0.000233,9.080003,381.912865,11.163221,431.657495
384,128,1,13,0,5,28838488,0.003209,0.126836,12.662448,12.159912,0.000211,7.754121,23.156434,0.008136,55.871315
384,128,1,14,0,5,28789751,0.002668,0.110722,12.612935,12.187961,0.0002,7.0922,296.757773,11.578981,340.343461
384,128,1,15,0,5,28941717,0.00426,0.12937,13.587929,12.860296,0.000221,7.722299,296.980809,71.781188,403.066382
384,128,1,16,0,5,28828592,0.004086,0.121392,14.512865,13.691801,0.000249,8.238534,298.694092,4.362167,339.625201
