traced_nodes,nl,trial,timestamp,strategy,numLocales,tracePath,totalTime,throughput,source_run
16,1,1,2026-07-17T22-15-16.528203,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,92.361118,9190080,run_20260717_215056
16,1,2,2026-07-17T22-17-02.231434,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,98.247859,8639436,run_20260717_215056
16,1,3,2026-07-17T22-18-44.046743,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,95.846094,8855928,run_20260717_215056
16,1,4,2026-07-17T22-20-21.575029,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,91.565313,9269952,run_20260717_215056
16,1,5,2026-07-17T22-22-09.404401,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,100.967958,8406688,run_20260717_215056
16,2,1,2026-07-17T22-24-57.495768,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,81.925492,10360708,run_20260717_215056
16,2,2,2026-07-17T22-26-59.942876,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,99.658899,8517113,run_20260717_215056
16,2,3,2026-07-17T22-28-58.793897,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,97.640098,8693212,run_20260717_215056
16,2,4,2026-07-17T22-31-00.633473,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,102.645955,8269260,run_20260717_215056
16,2,5,2026-07-17T22-32-53.115762,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,92.78585,9148012,run_20260717_215056
16,4,1,2026-07-17T22-35-11.884105,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,76.29084,11125924,run_20260717_215056
16,4,2,2026-07-17T22-36-46.881560,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,74.816804,11345126,run_20260717_215056
16,4,3,2026-07-17T22-38-29.986497,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,81.363234,10432305,run_20260717_215056
16,4,4,2026-07-17T22-40-22.535929,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,89.992537,9431961,run_20260717_215056
16,4,5,2026-07-17T22-42-02.328074,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,78.25357,10846867,run_20260717_215056
16,8,1,2026-07-17T22-44-01.246847,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,65.13149,13032192,run_20260717_215056
16,8,2,2026-07-17T22-45-31.191781,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,66.737173,12718640,run_20260717_215056
16,8,3,2026-07-17T22-46-48.816716,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,57.815438,14681305,run_20260717_215056
16,8,4,2026-07-17T22-48-08.635759,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,57.336769,14803870,run_20260717_215056
16,8,5,2026-07-17T22-49-27.828428,locgroup_dist_block,8,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,53.993285,15720586,run_20260717_215056
16,16,1,2026-07-17T22-51-18.355494,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,51.781089,16392202,run_20260717_215056
16,16,2,2026-07-17T22-52-37.690671,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,51.244886,16563723,run_20260717_215056
16,16,3,2026-07-17T22-53-56.284709,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,51.912717,16350639,run_20260717_215056
16,16,4,2026-07-17T22-55-10.563621,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,51.355259,16528124,run_20260717_215056
16,16,5,2026-07-17T22-56-25.190920,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,51.834665,16375259,run_20260717_215056
16,32,1,2026-07-17T22-58-05.166772,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,48.20402,17608616,run_20260717_215056
16,32,2,2026-07-17T22-59-15.312180,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,45.681167,18581095,run_20260717_215056
16,32,3,2026-07-17T23-00-23.535029,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,45.313834,18731721,run_20260717_215056
16,32,4,2026-07-17T23-01-31.596622,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,44.986765,18867907,run_20260717_215056
16,32,5,2026-07-17T23-02-40.980418,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-16-node-single-HPL-run/results/traces.otf2,44.610805,19026917,run_20260717_215056
32,1,1,2026-07-17T23-07-13.614916,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,235.74046,10154022,run_20260717_215056
32,1,2,2026-07-17T23-11-22.963529,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,239.070903,10012569,run_20260717_215056
32,1,3,2026-07-17T23-15-36.378818,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,243.266747,9839873,run_20260717_215056
32,1,4,2026-07-17T23-19-42.058894,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,235.655199,10157696,run_20260717_215056
32,1,5,2026-07-17T23-23-50.603690,locgroup_dist_block,1,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,238.119922,10052556,run_20260717_215056
32,2,1,2026-07-17T23-28-18.075617,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,211.861678,11298475,run_20260717_215056
32,2,2,2026-07-17T23-32-35.653311,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,231.313055,10348373,run_20260717_215056
32,2,3,2026-07-17T23-36-51.233879,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,230.759004,10373219,run_20260717_215056
32,2,4,2026-07-17T23-40-51.315749,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,210.386803,11377680,run_20260717_215056
32,2,5,2026-07-17T23-45-17.128366,locgroup_dist_block,2,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,237.917038,10061128,run_20260717_215056
32,4,1,2026-07-17T23-49-14.413895,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,145.21465,16483969,run_20260717_215056
32,4,2,2026-07-17T23-51-53.381125,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,135.974265,17604168,run_20260717_215056
32,4,3,2026-07-17T23-54-45.733305,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,149.445525,16017300,run_20260717_215056
32,4,4,2026-07-17T23-57-39.188469,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,153.210604,15623682,run_20260717_215056
32,4,5,2026-07-18T00-00-09.419154,locgroup_dist_block,4,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,129.904762,18426682,run_20260717_215056
