pipeline,backend,trace_traced_nodes,size_gib,analysis_nodes,n_trials,read_seconds,attribute_seconds,analysis_seconds,conversion_nl,conversion_nl_exact,conversion_seconds,end_to_end_seconds,metric,strategy,status
fastotf2+arkouda,arkouda,2,0.6815962251275778,1,1,7.629532098770142,6.613456964492798,14.24298906326294,1,True,12.530592500000001,26.77358156326294,A2rocm_smi:::energy_count:device=6,exclusive,ok
python+pandas,pandas,2,0.6815962251275778,1,1,17.309900283813477,6.30418872833252,23.614089012145996,1,True,281.373,304.987089012146,A2rocm_smi:::energy_count:device=6,exclusive,ok
fastotf2+arkouda,arkouda,4,1.899056663736701,1,1,19.26449227333069,15.84085750579834,35.10534977912903,1,True,31.735864,66.84121377912902,A2rocm_smi:::energy_count:device=6,exclusive,ok
python+pandas,pandas,4,1.899056663736701,1,1,44.34416198730469,27.189831972122192,71.53399395942688,1,True,790.65,862.1839939594269,A2rocm_smi:::energy_count:device=6,exclusive,ok
fastotf2+arkouda,arkouda,8,5.544019534252584,1,1,52.34334468841553,40.79767441749573,93.14101910591125,1,True,82.5517875,175.69280660591124,A2rocm_smi:::energy_count:device=6,exclusive,ok
python+pandas,pandas,8,5.544019534252584,1,1,155.59299564361572,87.73238134384155,243.32537698745728,1,True,2336.428,2579.753376987457,A2rocm_smi:::energy_count:device=6,exclusive,ok
fastotf2+arkouda,arkouda,16,11.563274732790887,1,1,95.35463786125185,74.68522810935974,170.03986597061157,1,True,107.285573,277.3254389706116,A2rocm_smi:::energy_count:device=6,exclusive,ok
fastotf2+arkouda,arkouda,16,11.563274732790887,4,1,152.62862467765808,1018.5130155086516,1171.1416401863098,4,True,76.131111,1247.2727511863097,A2rocm_smi:::energy_count:device=6,exclusive,ok
python+pandas,pandas,16,11.563274732790887,1,0,,,,1,True,4831.203,,A2rocm_smi:::energy_count:device=6,exclusive,oom
fastotf2+arkouda,arkouda,32,32.669452173635364,1,1,256.39542984962463,181.58244562149048,437.9778754711151,1,True,290.22364,728.201515471115,A2rocm_smi:::energy_count:device=6,exclusive,ok
fastotf2+arkouda,arkouda,32,32.669452173635364,8,1,356.36979579925537,1830.2133688926697,2186.583164691925,8,True,106.934554,2293.517718691925,A2rocm_smi:::energy_count:device=6,exclusive,ok
