traced_nodes,nl,trial,phase,time,pctTotal,source_run
128,128,1,Read global definitions,0.066875,0.03,run_20260717_203803_save
128,128,1,Build group/location map,0.00489,0.0,run_20260717_203803_save
128,128,1,Distribute groups,0.005213,0.0,run_20260717_203803_save
128,128,1,Read events + write output,222.911328,99.97,run_20260717_203803_save
128,128,1,Other (overhead),0.005841,0.0,run_20260717_203803_save
128,128,1,Total,222.988934,100.0,run_20260717_203803_save
128,128,2,Read global definitions,0.014977,0.01,run_20260717_203803_save
128,128,2,Build group/location map,0.00452,0.0,run_20260717_203803_save
128,128,2,Distribute groups,0.015005,0.01,run_20260717_203803_save
128,128,2,Read events + write output,218.219535,99.98,run_20260717_203803_save
128,128,2,Other (overhead),0.015243,0.01,run_20260717_203803_save
128,128,2,Total,218.254275,100.0,run_20260717_203803_save
128,128,3,Read global definitions,0.014853,0.01,run_20260717_203803_save
128,128,3,Build group/location map,0.00464,0.0,run_20260717_203803_save
128,128,3,Distribute groups,0.004693,0.0,run_20260717_203803_save
128,128,3,Read events + write output,218.512755,99.99,run_20260717_203803_save
128,128,3,Other (overhead),0.004951,0.0,run_20260717_203803_save
128,128,3,Total,218.537199,100.0,run_20260717_203803_save
128,128,4,Read global definitions,0.015132,0.01,run_20260717_203803_save
128,128,4,Build group/location map,0.004359,0.0,run_20260717_203803_save
128,128,4,Distribute groups,0.006121,0.0,run_20260717_203803_save
128,128,4,Read events + write output,218.821459,99.99,run_20260717_203803_save
128,128,4,Other (overhead),0.00637,0.0,run_20260717_203803_save
128,128,4,Total,218.84732,100.0,run_20260717_203803_save
128,128,5,Read global definitions,0.06927,0.03,run_20260717_203803_save
128,128,5,Build group/location map,0.004424,0.0,run_20260717_203803_save
128,128,5,Distribute groups,0.005246,0.0,run_20260717_203803_save
128,128,5,Read events + write output,220.457906,99.96,run_20260717_203803_save
128,128,5,Other (overhead),0.005466,0.0,run_20260717_203803_save
128,128,5,Total,220.537066,100.0,run_20260717_203803_save
128,16,1,Read global definitions,0.061857,0.01,run_20260717_203803_save
128,16,1,Build group/location map,0.004245,0.0,run_20260717_203803_save
128,16,1,Distribute groups,0.003012,0.0,run_20260717_203803_save
128,16,1,Read events + write output,440.50226,99.98,run_20260717_203803_save
128,16,1,Other (overhead),0.003233,0.0,run_20260717_203803_save
128,16,1,Total,440.571595,100.0,run_20260717_203803_save
128,16,2,Read global definitions,0.103118,0.02,run_20260717_203803_save
128,16,2,Build group/location map,0.005163,0.0,run_20260717_203803_save
128,16,2,Distribute groups,0.014112,0.0,run_20260717_203803_save
128,16,2,Read events + write output,446.865303,99.97,run_20260717_203803_save
128,16,2,Other (overhead),0.014339,0.0,run_20260717_203803_save
128,16,2,Total,446.987923,100.0,run_20260717_203803_save
128,16,3,Read global definitions,0.079329,0.02,run_20260717_203803_save
128,16,3,Build group/location map,0.004235,0.0,run_20260717_203803_save
128,16,3,Distribute groups,0.002978,0.0,run_20260717_203803_save
128,16,3,Read events + write output,502.0188,99.98,run_20260717_203803_save
128,16,3,Other (overhead),0.00365,0.0,run_20260717_203803_save
128,16,3,Total,502.106014,100.0,run_20260717_203803_save
128,16,4,Read global definitions,0.077821,0.02,run_20260717_203803_save
128,16,4,Build group/location map,0.004147,0.0,run_20260717_203803_save
128,16,4,Distribute groups,0.002879,0.0,run_20260717_203803_save
128,16,4,Read events + write output,441.549954,99.98,run_20260717_203803_save
128,16,4,Other (overhead),0.003426,0.0,run_20260717_203803_save
128,16,4,Total,441.635348,100.0,run_20260717_203803_save
128,16,5,Read global definitions,0.078734,0.02,run_20260717_203803_save
128,16,5,Build group/location map,0.004305,0.0,run_20260717_203803_save
128,16,5,Distribute groups,0.018137,0.0,run_20260717_203803_save
128,16,5,Read events + write output,438.141479,99.98,run_20260717_203803_save
128,16,5,Other (overhead),0.018721,0.0,run_20260717_203803_save
128,16,5,Total,438.243239,100.0,run_20260717_203803_save
128,32,1,Read global definitions,0.071561,0.02,run_20260717_203803_save
128,32,1,Build group/location map,0.004342,0.0,run_20260717_203803_save
128,32,1,Distribute groups,0.003319,0.0,run_20260717_203803_save
128,32,1,Read events + write output,296.964104,99.97,run_20260717_203803_save
128,32,1,Other (overhead),0.003858,0.0,run_20260717_203803_save
128,32,1,Total,297.043865,100.0,run_20260717_203803_save
128,32,2,Read global definitions,0.073907,0.02,run_20260717_203803_save
128,32,2,Build group/location map,0.004367,0.0,run_20260717_203803_save
128,32,2,Distribute groups,0.014004,0.0,run_20260717_203803_save
128,32,2,Read events + write output,318.165542,99.97,run_20260717_203803_save
128,32,2,Other (overhead),0.014679,0.0,run_20260717_203803_save
128,32,2,Total,318.258495,100.0,run_20260717_203803_save
128,32,3,Read global definitions,0.071315,0.02,run_20260717_203803_save
128,32,3,Build group/location map,0.00422,0.0,run_20260717_203803_save
128,32,3,Distribute groups,0.003283,0.0,run_20260717_203803_save
128,32,3,Read events + write output,301.868341,99.97,run_20260717_203803_save
128,32,3,Other (overhead),0.003487,0.0,run_20260717_203803_save
128,32,3,Total,301.947363,100.0,run_20260717_203803_save
128,32,4,Read global definitions,0.015373,0.0,run_20260717_203803_save
128,32,4,Build group/location map,0.004527,0.0,run_20260717_203803_save
128,32,4,Distribute groups,0.003221,0.0,run_20260717_203803_save
128,32,4,Read events + write output,307.792342,99.99,run_20260717_203803_save
128,32,4,Other (overhead),0.003478,0.0,run_20260717_203803_save
128,32,4,Total,307.81572,100.0,run_20260717_203803_save
128,32,5,Read global definitions,0.073604,0.03,run_20260717_203803_save
128,32,5,Build group/location map,0.00442,0.0,run_20260717_203803_save
128,32,5,Distribute groups,0.003361,0.0,run_20260717_203803_save
128,32,5,Read events + write output,276.051039,99.97,run_20260717_203803_save
128,32,5,Other (overhead),0.004001,0.0,run_20260717_203803_save
128,32,5,Total,276.133064,100.0,run_20260717_203803_save
128,64,1,Read global definitions,0.082779,0.03,run_20260717_203803_save
128,64,1,Build group/location map,0.004451,0.0,run_20260717_203803_save
128,64,1,Distribute groups,0.003547,0.0,run_20260717_203803_save
128,64,1,Read events + write output,239.056351,99.96,run_20260717_203803_save
128,64,1,Other (overhead),0.003805,0.0,run_20260717_203803_save
128,64,1,Total,239.147386,100.0,run_20260717_203803_save
128,64,2,Read global definitions,0.077242,0.03,run_20260717_203803_save
128,64,2,Build group/location map,0.004453,0.0,run_20260717_203803_save
128,64,2,Distribute groups,0.003742,0.0,run_20260717_203803_save
128,64,2,Read events + write output,261.823987,99.97,run_20260717_203803_save
128,64,2,Other (overhead),0.004401,0.0,run_20260717_203803_save
128,64,2,Total,261.910083,100.0,run_20260717_203803_save
128,64,3,Read global definitions,0.067392,0.03,run_20260717_203803_save
128,64,3,Build group/location map,0.00476,0.0,run_20260717_203803_save
128,64,3,Distribute groups,0.003815,0.0,run_20260717_203803_save
128,64,3,Read events + write output,232.060275,99.97,run_20260717_203803_save
128,64,3,Other (overhead),0.004344,0.0,run_20260717_203803_save
128,64,3,Total,232.136771,100.0,run_20260717_203803_save
128,64,4,Read global definitions,0.015175,0.01,run_20260717_203803_save
128,64,4,Build group/location map,0.004482,0.0,run_20260717_203803_save
128,64,4,Distribute groups,0.004247,0.0,run_20260717_203803_save
128,64,4,Read events + write output,231.151235,99.99,run_20260717_203803_save
128,64,4,Other (overhead),0.004481,0.0,run_20260717_203803_save
128,64,4,Total,231.175373,100.0,run_20260717_203803_save
128,64,5,Read global definitions,0.01507,0.01,run_20260717_203803_save
128,64,5,Build group/location map,0.004472,0.0,run_20260717_203803_save
128,64,5,Distribute groups,0.003571,0.0,run_20260717_203803_save
128,64,5,Read events + write output,262.586326,99.99,run_20260717_203803_save
128,64,5,Other (overhead),0.003815,0.0,run_20260717_203803_save
128,64,5,Total,262.609683,100.0,run_20260717_203803_save
16,16,1,Read global definitions,0.004126,0.01,run_20260717_203803_save
16,16,1,Build group/location map,0.000398,0.0,run_20260717_203803_save
16,16,1,Distribute groups,0.001325,0.0,run_20260717_203803_save
16,16,1,Read events + write output,53.950731,99.99,run_20260717_203803_save
16,16,1,Other (overhead),0.001491,0.0,run_20260717_203803_save
16,16,1,Total,53.956746,100.0,run_20260717_203803_save
16,16,2,Read global definitions,0.002033,0.0,run_20260717_203803_save
16,16,2,Build group/location map,0.000338,0.0,run_20260717_203803_save
16,16,2,Distribute groups,0.000778,0.0,run_20260717_203803_save
16,16,2,Read events + write output,52.95494,99.99,run_20260717_203803_save
16,16,2,Other (overhead),0.000981,0.0,run_20260717_203803_save
16,16,2,Total,52.958292,100.0,run_20260717_203803_save
16,16,3,Read global definitions,0.001975,0.0,run_20260717_203803_save
16,16,3,Build group/location map,0.000341,0.0,run_20260717_203803_save
16,16,3,Distribute groups,0.000813,0.0,run_20260717_203803_save
16,16,3,Read events + write output,53.434081,99.99,run_20260717_203803_save
16,16,3,Other (overhead),0.001002,0.0,run_20260717_203803_save
16,16,3,Total,53.437399,100.0,run_20260717_203803_save
16,16,4,Read global definitions,0.004256,0.01,run_20260717_203803_save
16,16,4,Build group/location map,0.000344,0.0,run_20260717_203803_save
16,16,4,Distribute groups,0.001248,0.0,run_20260717_203803_save
16,16,4,Read events + write output,52.671907,99.99,run_20260717_203803_save
16,16,4,Other (overhead),0.00142,0.0,run_20260717_203803_save
16,16,4,Total,52.677927,100.0,run_20260717_203803_save
16,16,5,Read global definitions,0.003596,0.01,run_20260717_203803_save
16,16,5,Build group/location map,0.000349,0.0,run_20260717_203803_save
16,16,5,Distribute groups,0.001379,0.0,run_20260717_203803_save
16,16,5,Read events + write output,54.007338,99.99,run_20260717_203803_save
16,16,5,Other (overhead),0.001573,0.0,run_20260717_203803_save
16,16,5,Total,54.012856,100.0,run_20260717_203803_save
16,1,1,Read global definitions,0.025463,0.02,run_20260717_203803_save
16,1,1,Build group/location map,0.00035,0.0,run_20260717_203803_save
16,1,1,Distribute groups,0.000167,0.0,run_20260717_203803_save
16,1,1,Read events + write output,112.443326,99.98,run_20260717_203803_save
16,1,1,Other (overhead),0.000366,0.0,run_20260717_203803_save
16,1,1,Total,112.469505,100.0,run_20260717_203803_save
16,1,2,Read global definitions,0.003298,0.0,run_20260717_203803_save
16,1,2,Build group/location map,0.000346,0.0,run_20260717_203803_save
16,1,2,Distribute groups,0.00013,0.0,run_20260717_203803_save
16,1,2,Read events + write output,103.35046,99.99,run_20260717_203803_save
16,1,2,Other (overhead),0.002077,0.0,run_20260717_203803_save
16,1,2,Total,103.356181,100.0,run_20260717_203803_save
16,1,3,Read global definitions,0.003727,0.0,run_20260717_203803_save
16,1,3,Build group/location map,0.000343,0.0,run_20260717_203803_save
16,1,3,Distribute groups,0.00013,0.0,run_20260717_203803_save
16,1,3,Read events + write output,108.795496,99.99,run_20260717_203803_save
